scenario_id,family,as_of_date,trace_file,run_id,run_status,tool_call_count,evidence_tool_called,policy_verdict,recommendation_authorized,final_status,final_guard_passed,latency_ms,human_open_coding_notes,human_pass_fail,human_failure_label
HC-EVAL-A1,A,2026-08-02,84cb52a3-f642-4951-ab3e-422e806d31f9.json,84cb52a3-f642-4951-ab3e-422e806d31f9,COMPLETED_PRODUCT_TRACE,3,true,QUALIFY,False,INSIGHT,True,60349,,,
HC-EVAL-A2,A,2026-07-18,4a8c95f6-f1a1-4633-a793-f5988231974b.json,4a8c95f6-f1a1-4633-a793-f5988231974b,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,True,RECOMMENDATION,True,29935,,,
HC-EVAL-A3,A,2026-07-18,edfd1ce1-dbd9-43b6-aa31-5cd2afb7cb90.json,edfd1ce1-dbd9-43b6-aa31-5cd2afb7cb90,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,True,RECOMMENDATION,True,29780,,,
HC-EVAL-A4,A,2026-07-31,ae6d1d3c-f214-4956-9127-ca39624c6cd9.json,ae6d1d3c-f214-4956-9127-ca39624c6cd9,COMPLETED_PRODUCT_TRACE,3,true,QUALIFY,False,INSIGHT,True,41623,,,
HC-EVAL-B1,B,2026-06-18,18215b33-42a0-4b68-a264-365b6b83a1dc.json,18215b33-42a0-4b68-a264-365b6b83a1dc,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,False,INSIGHT,True,10076,,,
HC-EVAL-B2,B,2026-08-15,73ba198e-86fb-475b-bbba-65c99c2ea5ac.json,73ba198e-86fb-475b-bbba-65c99c2ea5ac,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,False,INSIGHT,True,45988,,,
HC-EVAL-B3,B,2026-08-17,b19d5a7a-aed0-4b2c-9d86-5a39e9be4e9f.json,b19d5a7a-aed0-4b2c-9d86-5a39e9be4e9f,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,False,NO_SIGNIFICANT_NEW_PATTERN,True,42373,,,
HC-EVAL-C1,C,2026-08-02,4394f07b-eec6-4f4d-947b-c329f46d007c.json,4394f07b-eec6-4f4d-947b-c329f46d007c,COMPLETED_PRODUCT_TRACE,2,true,QUALIFY,False,INSIGHT,True,26977,,,
HC-EVAL-C2,C,2026-07-31,5bdfa033-0464-40a7-ab2d-6928dd2d56ef.json,5bdfa033-0464-40a7-ab2d-6928dd2d56ef,COMPLETED_PRODUCT_TRACE,3,true,QUALIFY,False,INSIGHT,True,50952,,,
HC-EVAL-C3,C,2026-06-29,9cd70225-e293-492e-ac39-f4e1416771f4.json,9cd70225-e293-492e-ac39-f4e1416771f4,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,True,RECOMMENDATION,True,12570,,,
HC-EVAL-C4,C,2026-07-28,0eb191b7-1efc-4ae4-82ff-8265c9c77544.json,0eb191b7-1efc-4ae4-82ff-8265c9c77544,COMPLETED_PRODUCT_TRACE,2,true,QUALIFY,False,INSIGHT,True,46309,,,
HC-EVAL-D1,D,2026-07-13,acf0b5e2-ed66-4130-8213-ba8109d8869a.json,acf0b5e2-ed66-4130-8213-ba8109d8869a,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,True,RECOMMENDATION,True,33252,,,
HC-EVAL-D2,D,2026-06-10,b29f91bc-85be-4a93-9c2c-5813a87ff590.json,b29f91bc-85be-4a93-9c2c-5813a87ff590,COMPLETED_PRODUCT_TRACE,2,true,SURFACE,True,RECOMMENDATION,True,30006,,,
HC-EVAL-D3,D,2026-06-08,2ee36ae9-2d1f-4392-bf4f-5a4e74ed6813.json,2ee36ae9-2d1f-4392-bf4f-5a4e74ed6813,COMPLETED_PRODUCT_TRACE,2,true,QUALIFY,False,INSIGHT,True,10465,,,
HC-EVAL-E1,E,2026-08-02,37a30f5b-d17b-4be0-a90a-183fc2dd5117.json,37a30f5b-d17b-4be0-a90a-183fc2dd5117,COMPLETED_PRODUCT_TRACE,2,true,QUALIFY,False,INSIGHT,True,12441,,,
