scenario_id,family,as_of_date,trace_file,run_id,run_status,final_status,latency_ms,model_call_count,f42_fidelity,codify_pass,codify_fail,guard_passed
HC-EVAL-A1,A,2026-08-02,88b7cad8-a84b-40aa-9df4-8b45e7807b37.json,88b7cad8-a84b-40aa-9df4-8b45e7807b37,COMPLETED_PRODUCT_TRACE,RECOMMENDATION,17891,4,True,11,0,True
HC-EVAL-A2,A,2026-07-18,582c6050-f629-405a-980b-afe1afd8a6b0.json,582c6050-f629-405a-980b-afe1afd8a6b0,COMPLETED_PRODUCT_TRACE,INSIGHT,16238,4,True,12,0,True
HC-EVAL-A3,A,2026-07-18,769bf8e0-4bc4-4f91-8f40-acef4c5bb287.json,769bf8e0-4bc4-4f91-8f40-acef4c5bb287,COMPLETED_PRODUCT_TRACE,INSIGHT,19605,4,True,12,0,True
HC-EVAL-A4,A,2026-07-31,24782224-16e2-4a3b-9f14-aaeba7b022ef.json,24782224-16e2-4a3b-9f14-aaeba7b022ef,COMPLETED_PRODUCT_TRACE,RECOMMENDATION,14894,4,True,11,0,True
HC-EVAL-B1,B,2026-06-18,fa304baa-da6e-47a5-b3c1-0cf0af9a3f00.json,fa304baa-da6e-47a5-b3c1-0cf0af9a3f00,ERROR,NO_SIGNIFICANT_NEW_PATTERN,9798,2,True,12,0,True
HC-EVAL-B2,B,2026-08-15,acd5ca80-b54f-465e-a92c-e30fcf92853b.json,acd5ca80-b54f-465e-a92c-e30fcf92853b,COMPLETED_PRODUCT_TRACE,INSIGHT,20754,4,True,12,0,True
HC-EVAL-B3,B,2026-08-17,48413ff5-c8dc-4b74-b980-bd6140ef1c6d.json,48413ff5-c8dc-4b74-b980-bd6140ef1c6d,COMPLETED_PRODUCT_TRACE,INSIGHT,23293,4,True,13,0,True
HC-EVAL-C1,C,2026-08-02,a7cbb5ae-4534-4ec2-a801-a3e5f12310fc.json,a7cbb5ae-4534-4ec2-a801-a3e5f12310fc,COMPLETED_PRODUCT_TRACE,RECOMMENDATION,37480,4,True,10,0,True
HC-EVAL-C2,C,2026-07-31,040d243b-fb9c-4e20-b551-d7ad27e87884.json,040d243b-fb9c-4e20-b551-d7ad27e87884,COMPLETED_PRODUCT_TRACE,RECOMMENDATION,21003,4,True,10,0,True
HC-EVAL-C3,C,2026-06-29,f322e21e-4c72-4a55-bb63-2020d74f73d3.json,f322e21e-4c72-4a55-bb63-2020d74f73d3,COMPLETED_PRODUCT_TRACE,INSIGHT,20218,4,True,11,0,True
HC-EVAL-C4,C,2026-07-28,5fffd1f5-9ddc-4d03-8487-8b4485b9a3db.json,5fffd1f5-9ddc-4d03-8487-8b4485b9a3db,COMPLETED_PRODUCT_TRACE,RECOMMENDATION,14894,4,True,11,0,True
HC-EVAL-D1,D,2026-07-13,478cf9ef-4232-413d-9929-8dbccef5c308.json,478cf9ef-4232-413d-9929-8dbccef5c308,COMPLETED_PRODUCT_TRACE,INSIGHT,19044,4,True,11,0,True
HC-EVAL-D2,D,2026-06-10,03d85ad8-6c84-451e-8725-f1e6a5086090.json,03d85ad8-6c84-451e-8725-f1e6a5086090,COMPLETED_PRODUCT_TRACE,INSIGHT,16431,4,True,11,0,True
HC-EVAL-D3,D,2026-06-08,292f3ded-534d-4013-9625-595a52d7e8ac.json,292f3ded-534d-4013-9625-595a52d7e8ac,COMPLETED_PRODUCT_TRACE,INSIGHT,13142,3,True,10,0,True
HC-EVAL-E1,E,2026-08-02,af06b2e3-d151-4b4c-bb71-1f6acacba000.json,af06b2e3-d151-4b4c-bb71-1f6acacba000,COMPLETED_PRODUCT_TRACE,RECOMMENDATION,19876,4,True,11,0,True
